Sample	Region	State	Typo	Latitude	Longitude	Temp	Cond	Sal	OD	pH	Clorof	NO2	NO3	PO4	SO4	NH4	NID	Ptotal	NPratio	Trophic	Bacteria	HighDNA	LowDNA	%High	%Low
321	Amazonas	AM	Lake	S0646836 	W06243567 	32.3	34	0.01	5.5	6.56	20.2	0.00	10.20	1.93	0.047	1.90	12.09	59.72	6.25	Eutrophic	3263274.34	1827433.63	1189137.17	56	36
2162	Amazonas	MT	Lake	S1530137 	W06011789 	26.94	245	0.11	NA	8.64	4.8	0.00	37.76	0.77	0.061	0.00	37.76	61.32	48.83	Eutrophic	6357758.62	3702758.62	2222672.41	58	35
383	Amazonas	AM	Lake	S0701077 	W07130662 	30.67	331	0.16	7.33	9.03	18.2	0.06	4.00	4.83	0.107	0.00	4.05	86.55	0.84	Eutrophic	209397.32	177263.39	28709.82	85	14
424	Amazonas	AM	Lake	S0642352 	W06951838 	30.39	314	0.15	6.81	7.8	7.8	0.15	12.47	1.55	0.064	0.00	12.62	55.89	8.16	Eutrophic	10570076.92	4238923.08	5768384.62	40	55
209	Amazonas	AM	Lake	S0337586 	W06243295 	30.42	253	0.12	7.42	7.29	39.4	0.00	75.72	8.70	0.928	0.00	75.72	85.91	8.70	Eutrophic	2034657.14	1089814.29	867300.00	54	43
2239	Amazonas	AM	Lake	S0314451 	W06430123 	31.88	270	0.13	7.66	8.4	30.3	0.00	75.20	2.90	0.958	10.43	85.64	68.35	29.53	Eutrophic	8799428.57	4502730.16	3862158.73	51	44
306	Amazonas	AM	River	S0535178 	W06311383 	27.54	39	0.02	5.31	6.38	10.5	0.12	176.18	17.51	180.91	0.53	176.83	56.04	10.10	Eutrophic	469934.35	281209.47	167364.23	60	36
363	Amazonas	AM	River	S0701049 	W06242485 	27.79	78	0.04	6.03	7.2	9.2	0.00	147.31	8.76	2019.23	0.00	147.31	116.55	16.82	Eutrophic	471063.49	276269.84	213055.56	59	45
395	Amazonas	AM	River	S0728089 	W06301463 	27.55	80	0.04	6.09	7.3	10.1	0.00	149.19	2.92	2059.57	0.00	149.19	108.24	51.11	Eutrophic	2869200.17	1424700.83	992400.35	50	35
431	Amazonas	RO	River	S0811204 	W06304644 	27.39	81	0.04	6.02	7.38	17.2	0.00	150.79	6.81	2208.60	0.00	150.79	106.65	22.14	Eutrophic	2547300.99	1278300.65	951700.75	50	37
441	Amazonas	RO	River	S0838254 	W06350780 	27.07	87	0.04	5.69	7.49	22	0.00	148.38	6.81	2470.80	0.00	148.38	102.66	21.79	Eutrophic	1594200.64	753300.33	525500.81	47	33
450	Amazonas	RO	River	S0846683 	W06355356 	26.92	99	0.05	NA	7.29	11.8	0.00	183.40	6.81	3006.18	0.53	183.93	63.54	27.01	Eutrophic	2447900.51	1338500.80	715100.32	55	29
488	Amazonas	RO	River	S0933001 	W06453004 	27.1	100	0.05	NA	7.26	17.8	0.00	195.16	6.81	2836.09	0.53	195.69	63.54	28.73	Eutrophic	535298.01	319686.94	161974.71	60	30
518	Amazonas	RO	River	S1019347 	W06521088 	27.18	104	0.05	NA	7.29	8.6	0.00	146.51	11.67	2955.09	0.00	146.51	134.43	12.55	Eutrophic	540125.90	221250.00	221780.58	41	41
533	Amazonas	RO	River	S1045028 	W06520615 	26.56	90	0.04	NA	7.32	13.5	0.00	2.20	0.00	0.087	1.90	4.10	76.97	NA	Eutrophic	2896363.64	1108484.85	1787878.79	38	62
542	Amazonas	RO	River	S1104547 	W06516700 	26.73	96	0.04	NA	7.34	16.7	0.00	195.57	1.93	3.251	0.95	196.52	87.03	101.63	Eutrophic	707058.82	400000.00	270196.08	57	38
2160	Amazonas	RO	River	S1155169 	W06501461 	26.82	145	0.07	NA	7.06	9	0.00	244.45	0.00	6.720	0.00	244.45	110.18	NA	Eutrophic	273135.69	174914.48	98221.21	64	36
139	Amazonas	PA	River	S0212549 	W05421888 	31.13	75	0.03	5.85	9.29	26.6	0.00	0.13	3.48	0.290	0.00	0.13	76.49	0.04	Eutrophic	14610994.76	8124083.77	5924712.04	56	41
148	Amazonas	AM	River	S0251734 	W06714715 	31.94	345	0.16	6.12	6.74	23.3	0.09	96.17	13.92	0.154	15.17	111.43	63.08	8.00	Eutrophic	1063340.91	633803.03	385287.88	60	36
151	Amazonas	AM	River	S0229517 	W06606359 	30.85	352	0.17	6.51	7.53	2.4	0.00	233.92	13.62	1195.43	0.00	233.92	71.21	17.17	Eutrophic	5008770.28	2008614.10	2300987.87	49	41
160	Amazonas	AM	River	S0239777 	W06536103 	30.39	362	0.17	7.13	7.59	13.1	0.00	270.54	21.40	1255.94	0.00	270.54	84.14	12.64	Eutrophic	6408107.26	2905040.61	2040808.38	46	38
163	Amazonas	AM	River	S0242848 	W06646591 	30.22	372	0.18	6.85	7.13	21.4	0.00	329.08	25.30	1332.58	0.00	329.08	65.78	13.01	Eutrophic	4700083.33	2218007.21	1922000.32	47	41
167	Amazonas	AM	River	S0246944 	W06551777 	31.89	332	0.16	6.71	7.54	18.1	0.12	362.91	8.12	0.528	0.95	363.98	72.50	44.82	Eutrophic	6350900.43	3005369.98	3100203.45	59	39
184	Amazonas	AM	River	S0313557 	W06755662 	29.74	417	0.2	7.08	7.23	6.2	0.00	258.51	29.19	1973.29	0.00	258.51	91.32	8.86	Eutrophic	5900307.21	2704004.09	2200932.12	46	39
190	Amazonas	AM	River	S0312980 	W06447585 	30.74	356	0.17	7	7.67	12.8	0.00	208.79	17.51	1127.30	0.00	208.79	66.89	11.92	Eutrophic	52000.00	24933.33	20800.00	48	40
197	Amazonas	AM	River	S0317948 	W06010249 	30.19	305	0.14	6.85	7.71	5.6	0.00	231.78	17.51	820.28	0.00	231.78	67.69	13.24	Eutrophic	56152.90	29619.11	19437.54	53	35
202	Amazonas	AM	River	S0326866 	W06852184 	29.22	360	0.17	7.29	7.63	9.9	0.00	214.41	18.49	1891.72	0.00	214.41	72.16	11.60	Eutrophic	137643.28	79274.67	55141.50	58	40
203	Amazonas	AM	River	S0325057 	W06603626 	30.48	358	0.17	6.51	7.52	23.3	0.12	265.07	3.48	0.496	0.00	265.19	70.74	76.19	Eutrophic	65525.35	33442.40	30043.78	51	46
215	Amazonas	AM	River	S0350888 	W06138186 	30.52	311	0.15	6.53	7.5	8.2	0.00	226.70	12.65	837.98	0.00	226.70	75.20	17.92	Eutrophic	231140.56	148529.99	74159.36	64	32
225	Amazonas	AM	River	S0355470 	W06922038 	29.23	348	0.16	6.99	8.29	16.2	0.00	210.13	15.57	2002.65	0.00	210.13	69.93	13.50	Eutrophic	92838.17	44230.98	36103.73	48	39
233	Amazonas	AM	River	S0415985 	W06929323 	29.03	350	0.16	6.82	7.72	10.3	0.00	215.74	25.30	1601.28	5.30	221.04	76.47	8.74	Eutrophic	245214.57	116202.43	93022.94	47	38
243	Amazonas	AM	River	S0426276 	W07014784 	28.38	449	0.21	6.96	6.87	11.5	0.27	160.15	1.74	0.146	5.69	166.11	65.95	95.45	Eutrophic	55284.86	54400.30	884.56	98	2
262	Amazonas	AM	River	S0453597 	W07023442 	28.17	401	0.19	6.96	6.95	14	0.29	184.73	3.29	0.166	3.79	188.82	58.45	57.44	Eutrophic	47953.56	41864.22	5518.46	87	12
266	Amazonas	AM	River	S0451568 	W06650035 	30.49	322	0.15	6.73	7.13	21.5	0.35	251.28	2.51	0.500	0.00	251.63	183.00	100.10	Eutrophic	343397.10	145704.35	181959.42	42	53
293	Amazonas	AM	River	S0517753 	W07020064 	28.12	424	0.2	7.05	7.13	8.2	0.59	196.31	0.00	0.121	2.85	199.75	57.33	NA	Eutrophic	38722.44	18031.06	16553.11	47	43
341	Amazonas	AM	River	S0627361 	W06815913 	29.46	367	0.17	7.13	7.59	25.2	0.15	264.48	2.90	0.581	0.00	264.62	70.10	91.24	Eutrophic	55857.99	49457.59	5818.54	89	10
353	Amazonas	AM	River	S0642831 	W06949372 	28.37	316	0.15	7.09	7.78	17.8	0.56	230.91	5.22	0.372	0.00	231.47	80.64	44.34	Eutrophic	855393.50	356129.96	456664.26	42	53
362	Amazonas	AM	River	S0652998 	W06946750 	28.81	372	0.18	7.27	8.07	19.9	0.91	499.18	5.99	1.240	0.00	500.09	113.06	83.43	Eutrophic	414609.73	104142.35	278832.74	25	67
373	Amazonas	AM	River	S0703856 	W07140683 	28.22	329	0.16	6.95	7.49	24.9	0.00	297.70	6.77	0.691	0.00	297.70	91.18	43.99	Eutrophic	56902.88	46216.89	10151.69	81	18
376	Amazonas	AM	River	S0657225 	W07042190 	27.24	389	0.18	7.08	7.49	35.7	2.24	274.40	1.35	0.240	13.28	289.92	126.63	214.20	Eutrophic	122083.63	88904.11	30201.87	73	25
387	Amazonas	AM	River	S0716331 	W07224559 	26.58	336	0.16	7.32	7.31	20.9	0.83	201.09	1.35	0.120	4.74	206.66	53.66	152.68	Eutrophic	51897.38	43580.49	6986.19	84	13
389	Amazonas	AM	River	S0720417 	W06801010 	29.01	413	0.2	7.22	7.61	16.1	0.00	140.72	0.97	0.663	0.00	140.72	54.13	145.55	Eutrophic	58512.40	48496.76	4480.68	83	8
391	Amazonas	AM	River	S0726060 	W07003206 	29.14	425	0.2	6.88	7.81	22.3	4.74	256.40	5.80	1.052	2.85	263.99	134.94	45.51	Eutrophic	52991.92	42997.83	8134.73	81	15
393	Amazonas	AC	River	S0724580 	W07312656 	27.22	408	0.19	6.86	7.35	19.4	0.65	245.47	2.51	0.419	13.28	259.40	95.81	103.19	Eutrophic	61126.13	45180.18	13819.82	74	23
398	Amazonas	AC	River	S0738294 	W07238844 	27.51	316	0.15	7.04	7.75	22.4	4.15	320.12	0.00	0.650	0.00	324.28	126.95	NA	Eutrophic	50542.55	46499.14	3369.50	92	7
407	Amazonas	AM	River	S0648259 	W07041967 	28.86	338	0.16	6.86	7.83	19.9	0.50	213.64	5.99	0.406	0.95	215.09	63.56	35.88	Eutrophic	45810.32	40583.64	4611.78	89	10
410	Amazonas	AM	River	S0743629 	W06657793 	30.61	379	0.18	7.06	7.59	22.1	0.12	60.71	13.62	1046.18	0.00	60.83	54.60	4.47	Eutrophic	122153.63	67074.02	39613.13	55	32
411	Amazonas	AC	River	S0740821 	W07239435 	27.61	337	0.16	7.46	8	22.1	5.95	324.05	2.13	0.717	0.00	330.00	100.28	155.15	Eutrophic	67250.82	58659.30	5925.18	87	9
417	Amazonas	AM	River	S0736717 	W07003357 	29.79	484	0.23	6.67	8.04	26.3	11.26	437.67	10.83	3.068	0.95	449.88	165.92	41.55	Eutrophic	67932.71	63962.62	3970.09	94	6
420	Amazonas	AC	River	S0750995 	W07128580 	26.66	307	0.15	7.1	7.77	19.9	0.35	207.99	11.67	275.93	0	208.34	79.51	17.85	Eutrophic	73509.77	63900.65	7206.84	87	10
426	Amazonas	AC	River	S0808799 	W07043584 	29.11	389	0.18	6.82	8.21	27	67.89	422.43	2.13	0.577	1.90	492.21	171.19	231.41	Eutrophic	51771.85	48187.65	3584.21	93	7
427	Amazonas	AC	River	S0807440 	W07021004 	30.08	529	0.25	6.83	8.13	26.4	5.75	199.58	0.00	2.699	0.00	205.33	154.74	NA	Eutrophic	56511.56	52658.50	3853.06	93	7
435	Amazonas	AC	River	S0815391 	W07059880 	28.94	375	0.18	7.01	8.09	21.4	3.89	338.39	5.41	0.236	0.00	342.28	143.56	63.22	Eutrophic	99537.41	85489.80	14047.62	86	14
444	Amazonas	AM	River	S0841706 	W06723670 	29.81	446	0.21	7.15	7.49	29.3	0.35	303.96	42.81	2514.95	0.00	304.31	110.80	7.11	Eutrophic	774925.35	331519.72	327063.38	43	42
446	Amazonas	AC	River	S0903739 	W07040859 	29.01	466	0.22	6.91	8.15	29.5	29.52	390.93	12.96	1.503	0.00	420.46	162.56	32.45	Eutrophic	57288.55	51523.66	5764.89	90	10
451	Amazonas	AC	River	S0904622 	W06934914 	29.88	571	0.27	6.88	8.26	28.3	0.35	85.57	80.75	2227.42	0.00	85.92	172.90	1.06	Eutrophic	265651.99	112592.06	113734.30	42	43
452	Amazonas	AM	River	S0849627 	W06720411 	29.53	342	0.16	7.15	7.96	35.1	1.41	342.97	17.02	1.765	0.00	344.38	63.56	20.24	Eutrophic	1948824.74	1252989.69	625278.35	64	32
453	Amazonas	AC	River	S0859352 	W07243627 	28.59	442	0.21	6.56	8.03	28.9	21.16	430.28	92.43	1.879	0.00	451.43	162.40	4.88	Eutrophic	50981.93	45729.25	5252.68	90	10
